y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,label
0,1,4,10,18,27,35,40,44,47,49,51,54,57,58,60,60,61,61,62,63,64,64,64,64,64,64,64,64,63,90
0,2,7,13,22,28,34,39,43,47,52,55,59,62,63,64,65,65,65,66,66,66,67,67,66,66,66,65,65,64,88
2,4,8,15,22,30,37,43,48,52,56,59,62,65,66,67,67,68,68,68,68,68,68,68,68,69,69,69,69,69,81
0,1,4,10,17,24,31,39,44,47,48,47,47,49,51,52,52,52,52,52,51,51,52,53,53,53,53,53,52,52,63
7,9,13,17,23,27,31,35,38,41,43,46,47,49,50,50,50,50,50,50,50,50,49,48,48,47,46,45,44,44,49
2,5,11,18,22,28,33,37,39,40,42,45,48,49,50,51,52,53,54,54,54,54,54,54,55,55,55,55,55,54,65
3,5,7,13,19,25,29,32,35,37,39,41,44,46,47,49,49,50,51,52,52,52,52,52,52,53,53,53,53,52,69
3,6,11,18,24,31,37,41,45,49,52,55,57,58,59,60,62,62,62,62,62,62,62,62,61,60,60,60,60,59,68
3,5,9,15,22,28,34,39,44,48,50,53,55,57,58,59,60,61,61,61,60,60,60,60,60,60,60,60,60,60,66
7,9,14,19,24,30,36,40,44,48,52,55,58,60,61,63,65,66,66,67,67,67,67,67,67,67,67,67,67,67,60
2,3,7,14,23,32,37,43,47,51,54,58,61,63,65,66,67,68,68,68,68,68,68,69,69,69,69,69,69,68,74
1,3,11,20,29,37,44,49,54,57,60,64,67,71,74,76,78,79,80,80,80,80,80,80,80,80,80,80,80,79,81
3,4,9,16,22,27,31,35,38,40,42,42,42,41,40,39,39,39,39,39,40,40,40,40,40,40,40,39,38,38,80
1,4,7,12,17,22,27,31,35,38,40,42,43,43,44,44,44,44,43,42,42,41,40,39,39,38,37,37,36,35,49
0,1,7,12,19,25,28,32,34,35,36,37,39,39,39,39,40,40,41,41,41,40,40,40,41,41,41,41,41,41,63
1,4,8,12,19,25,31,35,38,41,44,47,49,51,51,51,52,52,52,54,54,54,54,54,54,54,53,53,52,52,58
0,1,5,11,18,26,32,37,40,43,46,49,53,55,57,57,57,56,57,58,59,59,60,60,60,59,59,59,58,58,70
